station_id,station_name,latitude,longitude,altitude,site_code,provider,organization,status,protocol,transmission_status
67615bff-78aa-4af6-bce2-ef575ee1ae48,Katsina Airport Station.,7.3938,13.0013,,KAT-KASK,WAGTECH,NiMet,inactive,FTP,inactive
1a3048ab-c761-45b3-8cfa-d5c11ae8a8d6,Ikeja Airport Meteo Station.,6.3504,3.2005,39.4,IKJ-AIRPORT,WAGTECH,NiMet,active,FTP,active
96aba914-a4cb-4dab-b956-984420916cce,"Kaduna State University, Kaduna.",7.2707,10.3055,,KAD-KSUK,WAGTECH,NiMet,inactive,FTP,inactive
1692f2c0-f815-471f-9474-f15c696c26e3,"Sokoto State University, Sokoto.",5.1131,12.5636,,SOK-SSUK,WAGTECH,NiMet,inactive,FTP,inactive
9f8c3757-1ff0-4881-8064-6c5ac6588f1e,"Sa'adatu Rimi College of Education, Kumbotso, Kano State.",8.3311,11.5518,,KUM-SRCK,WAGTECH,NiMet,inactive,FTP,inactive
632952ba-605f-46eb-bc67-0ced86d88a1a,"Federal University Dutse, Jigawa State.",9.2204,11.422,,DUT-FUDJ,WAGTECH,NiMet,inactive,FTP,inactive
e11c30f1-d7fe-4ed6-a977-d7e3f3eecaeb,"Nigerian Airforce Base, port Harcourt, Rivers State.",7.0107,4.5051,,PHC-DNPO,WAGTECH,NiMet,inactive,FTP,inactive
5027d2dc-c983-4571-85b8-0e12440dea03,"MCN International College, Amuda Isuochi, Abia State.",7.2809,5.5908,,ISC-MCNIC,WAGTECH,NiMet,inactive,FTP,inactive
17220d6c-699a-431d-b1b4-833872bfcdcf,"Godfrey Okoye University, Ugwuomu Campus, Enugu State.",7.3535,6.2912,,OGW-GOUU,WAGTECH,NiMet,inactive,FTP,inactive
2b3dc89c-5834-46b5-8391-028b8203d3fd,"Fr. Joseph Memorial High School, Aguleri, Anambra State.",6.525,6.1939,,AGU-FJMS,WAGTECH,NiMet,inactive,FTP,inactive
9ec92a29-2a25-4e22-a4b8-eaf42fb86079,"Nnamdi Azikiwe Secondary School, Abagana, Anambra State.",6.5712,6.1045,,ABA-NASS,WAGTECH,NiMet,inactive,FTP,inactive
ef5305a7-22ee-4c75-9b8c-a00268faa93b,"University of Abuja, Gwagwalada Campus, FCT.",7.1045,8.5845,,ABJ-UASF,WAGTECH,NiMet,inactive,FTP,inactive
ae803374-f5d6-407c-93e8-b8448e8b7d9a,Dikko College Katsina.,7.3613,13.0008,,KAT-DKCK,WAGTECH,NiMet,inactive,FTP,inactive
d1d93971-91f7-41a2-a1be-fff1ad1f9cd9,"Federal University Dutsinma, Katsina State.",7.2917,12.2819,,DUM-FUDK,WAGTECH,NiMet,inactive,FTP,inactive
ba7f38ef-8d94-4fc3-a3fa-40eba81ec8d2,"Delta State University, Abraka.",6.0612,5.4716,,DEL-DSUA,WAGTECH,NiMet,inactive,FTP,inactive
0532efa3-1cf0-41f5-96f9-f7550ee1b200,"NiMet Enclosure, Abuja Hqtrs",9.0029,7.1632,375,ABJ-HQ,WAGTECH,NiMet,active,FTP,active
496af94c-3cf8-4a8c-840e-dabe7c4daff3,"Sule Lamido University Kafin Hausa, Jigawa State",12.1346,9.5353,385,KHS-SLU,WAGTECH,NiMet,active,FTP,inactive
3273dd8f-3d8e-4509-8d88-f074545128af,"Amugo Akpugo, Nkanu West, Enugu State",6.2017,7.3447,180,AGN-AMUGO,WAGTECH,NiMet,active,FTP,inactive
c86db3b8-c535-4eb6-827a-8ec508b079dc,"NiMet Enclosure, Asaba International Airport, Delta State",6.12,6.426,6.4,AIRPORT-ASB,WAGTECH,NiMet,active,FTP,inactive
4a2ed51f-865a-4efa-8b0b-98f7de8f3263,"Nnamdi Azikiwe University Awka, Anambra State.",6.1502,7.0655,63,AWK-NAU,WAGTECH,NiMet,active,FTP,active
638e1b65-18a1-4b20-aa52-5415338eb5a4,"Imo State University, Imo State",5.3025,7.0236,131,IMO-IMSU,WAGTECH,NiMet,active,FTP,active
26dae468-6074-49bc-9262-205cd26bf954,"Obasanjo Farm Ota, Ogun State",6.4017,3.1249,84,OTAFARM-OGUN,WAGTECH,NiMet,active,FTP,active
7dc9914d-eb0a-4ccb-b132-af90f58b1bac,"Ikaramu-Akoko, Ondo State",7.3643,5.5143,443,IKRM-AKOKO,WAGTECH,NiMet,active,FTP,active
c78f25b8-4b91-4221-9753-caf581ff868a,"Ochon-Obubra, Cross River State",5.5623,8.2626,76,BRA-OCHON,WAGTECH,NiMet,active,FTP,active
