station_id,station_name,latitude,longitude,altitude,site_code,provider,organization,status,protocol,transmission_status,wigos_id,wsi_series,wsi_issuer,wsi_issue_number,wsi_local,wmo_block_number,station_height_above_msl,,barometer_height_above_msl
,"MCN International College, Amuda Isuochi, Abia State.",7.2809,5.5908,,ISC-MCNIC,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Godfrey Okoye University, Ugwuomu Campus, Enugu State.",7.3535,6.2912,,OGW-GOUU,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Fr. Joseph Memorial High School, Aguleri, Anambra State.",6.525,6.1939,,AGU-FJMS,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Nnamdi Azikiwe Secondary School, Abagana, Anambra State.",6.5712,6.1045,,ABA-NASS,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"University of Abuja, Gwagwalada Campus, FCT.",7.1045,8.5845,,ÊABJ-UASF,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,Dikko College Katsina.,73613,13.0008,,KAT-DKCK,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Federal University Dutsinma, Katsina State.",7.2917,12.2819,,ÊDUM-FUDK,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"Delta State University, Abraka.",6.0612,5.4716,,DEL-DSUA,WAGTECH,NiMet,inactive,FTP,inactive,,,,,,,,,
,"NiMet Enclosure, Abuja Hqtrs",9.0029,7.1632,375,ABJ-HQ,WAGTECH,NiMet,active,FTP,active,,,,,,,,,
,"Sule Lamido University Kafin Hausa, Jigawa State",12.1346,9.5353,385,KHS-SLU,WAGTECH,NiMet,active,FTP,inactive,,,,,,,,,
,"Amugo Akpugo, Nkanu West, Enugu State",6.2017,7.3447,180,AGN-AMUGO,WAGTECH,NiMet,active,FTP,inactive,,,,,,,,,
,"NiMet Enclosure, Asaba International Airport, Delta State",6.12,64.26,6.4,AIRPORT-ASB,WAGTECH,NiMet,active,FTP,inactive,,,,,,,,,
,"Nnamdi Azikiwe University Awka, Anambra State.",6.1502,7.0655,63,AWK-NAU,WAGTECH,NiMet,active,FTP,active,,,,,,,,,
,"Imo State University, Imo State",5.3025,7.0236,131,IMO-IMSU,WAGTECH,NiMet,active,FTP,active,,,,,,,,,
,"Obasanjo Farm Ota, Ogun State",6.4017,3.1249,84,OTAFARM-OGUN,WAGTECH,NiMet,active,FTP,active,,,,,,,,,
,"Ikaramu-Akoko, Ondo State",7.3643,5.5143,443,IKRM-AKOKO,WAGTECH,NiMet,active,FTP,active,,,,,,,,,
,"Ochon-Obubra, Cross River State",5.5623,8.2626,76,BRA-OCHON,WAGTECH,NiMet,active,FTP,active,,,,,,,,,
